name,number,from,to,departure_time,arrival_time,price,duration_hours,link,
IndiGo,IN4488,Chandigarh,Srinagar,20:45,21:57,3909,1.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI3150,Hyderabad,Srinagar,17:15,20:33,11619,3.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN3222,Ahmedabad,Jaipur,08:15,09:57,5079,1.7,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI9370,Guwahati,Hyderabad,23:45,02:09,8755,2.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Vistara,VI6631,Jaipur,Pune,13:45,15:09,3743,1.4,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI3724,Delhi,Srinagar,23:30,01:12,6733,1.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI1251,Goa,Hyderabad,14:00,16:42,10648,2.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN8595,Kolkata,Ahmedabad,09:30,11:54,7821,2.4,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
IndiGo,IN3963,Guwahati,Hyderabad,02:00,03:18,4782,1.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI3260,Guwahati,Bangalore,20:30,22:06,4604,1.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI4707,Chennai,Mumbai,05:30,07:36,5455,2.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP7989,Pune,Delhi,09:00,11:18,8199,2.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
SpiceJet,SP9142,Goa,Ahmedabad,14:00,16:06,7459,2.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI8032,Chandigarh,Kochi,09:45,12:57,11328,3.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK135,Bangalore,Delhi,01:45,04:45,10509,3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI1653,Hyderabad,Chandigarh,04:45,06:33,5283,1.8,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI988,Bangalore,Pune,10:15,11:15,3467,1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI9095,Goa,Guwahati,04:15,06:51,7085,2.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI5429,Hyderabad,Pune,06:15,09:33,11606,3.3,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP8922,Jaipur,Delhi,21:45,23:45,6930,2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Air India,AI453,Chennai,Kochi,03:30,04:36,3945,1.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI4214,Ahmedabad,Jaipur,00:00,02:48,10855,2.8,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI2135,Mumbai,Hyderabad,02:15,03:15,3838,1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI541,Ahmedabad,Chennai,08:00,09:48,7111,1.8,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI957,Chennai,Bangalore,12:00,13:54,6828,1.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI892,Srinagar,Jaipur,22:15,23:39,3505,1.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI3457,Goa,Mumbai,18:00,21:06,11913,3.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI2234,Hyderabad,Ahmedabad,07:30,10:54,10526,3.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Air India,AI6120,Chandigarh,Mumbai,16:45,19:33,8668,2.8,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI7799,Delhi,Chandigarh,13:15,16:15,11406,3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI947,Guwahati,Srinagar,01:15,03:09,5213,1.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK2217,Lucknow,Ahmedabad,08:00,09:12,3001,1.2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
IndiGo,IN5991,Ahmedabad,Srinagar,10:45,11:51,2850,1.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI6363,Lucknow,Mumbai,11:45,14:45,10671,3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP5341,Mumbai,Guwahati,14:00,15:18,3846,1.3,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI3500,Mumbai,Delhi,18:30,20:24,7212,1.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Vistara,VI2262,Lucknow,Jaipur,17:00,20:24,9431,3.4,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK2397,Jaipur,Mumbai,16:30,18:30,7610,2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN9720,Mumbai,Ahmedabad,00:00,01:06,4329,1.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI8202,Bangalore,Delhi,20:00,23:12,11203,3.2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI9585,Hyderabad,Lucknow,12:00,15:06,9746,3.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN5771,Hyderabad,Ahmedabad,07:15,08:27,3558,1.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN5163,Jaipur,Kochi,18:00,20:42,7516,2.7,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
IndiGo,IN688,Srinagar,Hyderabad,03:15,06:27,9475,3.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
SpiceJet,SP2591,Kolkata,Srinagar,19:30,21:18,5812,1.8,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP5057,Kochi,Chennai,16:45,17:51,3543,1.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN1983,Bangalore,Mumbai,22:45,23:51,3403,1.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN4353,Bangalore,Hyderabad,05:00,07:12,7253,2.2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI4385,Guwahati,Hyderabad,11:15,14:27,12800,3.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK4703,Kolkata,Pune,11:00,12:18,3374,1.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI9674,Kolkata,Bangalore,05:00,07:30,8300,2.5,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI2419,Kolkata,Guwahati,19:30,22:54,9489,3.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Vistara,VI9474,Mumbai,Delhi,06:30,09:12,7497,2.7,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
IndiGo,IN9901,Chandigarh,Pune,15:30,18:30,7977,3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI8175,Goa,Bangalore,18:00,21:12,11952,3.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP1402,Kolkata,Chennai,05:30,08:30,9816,3,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI5047,Srinagar,Chennai,00:45,01:51,4137,1.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP6335,Guwahati,Delhi,15:30,17:48,6288,2.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN9293,Pune,Jaipur,08:00,10:06,6606,2.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
IndiGo,IN4186,Jaipur,Chandigarh,01:30,03:36,7872,2.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
AirAsia India,AI4812,Pune,Jaipur,04:45,07:39,10747,2.9,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI9835,Goa,Kolkata,12:00,13:24,4412,1.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI7450,Hyderabad,Guwahati,06:30,09:18,11141,2.8,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI7217,Chandigarh,Lucknow,04:45,06:51,7066,2.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI5750,Bangalore,Guwahati,21:45,23:03,3993,1.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI388,Lucknow,Ahmedabad,12:30,15:00,6507,2.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI8943,Ahmedabad,Chennai,02:15,05:33,12563,3.3,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
IndiGo,IN7386,Lucknow,Srinagar,11:00,14:00,11751,3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Vistara,VI6028,Pune,Kochi,14:00,15:30,5610,1.5,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI407,Lucknow,Bangalore,11:00,12:54,4846,1.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI269,Srinagar,Jaipur,13:00,16:24,10659,3.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK7574,Srinagar,Hyderabad,04:30,05:42,4368,1.2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI5822,Bangalore,Jaipur,18:45,21:51,9318,3.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI8780,Jaipur,Chandigarh,14:30,16:06,5577,1.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK2121,Delhi,Kolkata,04:00,06:30,8727,2.5,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI4879,Jaipur,Lucknow,17:30,20:12,9765,2.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Air India,AI1964,Hyderabad,Kochi,05:15,06:45,4549,1.5,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI7492,Kochi,Mumbai,08:00,09:12,3758,1.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP6977,Chennai,Goa,23:30,02:24,9662,2.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK3204,Delhi,Pune,16:15,18:03,6809,1.8,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
IndiGo,IN9981,Chennai,Delhi,11:15,12:33,5093,1.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP4212,Chandigarh,Pune,23:45,02:03,6713,2.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK631,Bangalore,Jaipur,22:00,23:06,3666,1.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI5512,Ahmedabad,Bangalore,14:30,17:36,12173,3.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Vistara,VI5955,Srinagar,Chennai,22:15,00:03,6354,1.8,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK1691,Chandigarh,Guwahati,12:00,13:06,3782,1.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI6662,Chennai,Kolkata,00:30,02:06,5004,1.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI9580,Jaipur,Guwahati,10:15,11:45,3768,1.5,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI9550,Hyderabad,Srinagar,12:00,14:24,6031,2.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN5833,Lucknow,Pune,04:30,06:48,7447,2.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI734,Bangalore,Lucknow,04:00,07:00,8175,3,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI2149,Kolkata,Lucknow,11:45,12:45,2634,1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Air India,AI5551,Goa,Delhi,01:45,03:51,6400,2.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI3675,Ahmedabad,Guwahati,18:15,20:15,5760,2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI1740,Chandigarh,Guwahati,03:30,05:00,5553,1.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP5891,Guwahati,Kolkata,09:45,12:33,7492,2.8,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK5431,Ahmedabad,Hyderabad,11:45,13:39,6781,1.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN1253,Delhi,Jaipur,10:45,12:57,6036,2.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN7034,Delhi,Pune,10:15,12:21,6898,2.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI1982,Kochi,Hyderabad,00:45,03:15,8682,2.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
SpiceJet,SP5570,Delhi,Jaipur,16:00,18:06,6549,2.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI7554,Mumbai,Guwahati,21:30,00:12,10478,2.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI8545,Guwahati,Chennai,05:15,08:03,7386,2.8,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI1873,Mumbai,Kolkata,08:15,10:39,6367,2.4,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK2258,Srinagar,Delhi,16:15,17:21,3330,1.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN9931,Bangalore,Kolkata,20:15,23:21,9495,3.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK4822,Delhi,Pune,18:15,20:51,7313,2.6,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK8599,Kochi,Goa,20:00,23:12,10342,3.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
AirAsia India,AI2470,Mumbai,Kolkata,01:30,02:54,4094,1.4,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI2462,Kochi,Mumbai,16:30,19:54,8914,3.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN2196,Mumbai,Hyderabad,11:15,14:21,12155,3.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP1728,Lucknow,Kochi,11:00,14:12,11024,3.2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI4684,Kolkata,Chandigarh,10:00,11:06,3137,1.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK7215,Kochi,Mumbai,11:00,12:06,3127,1.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI7361,Goa,Lucknow,01:00,03:00,5616,2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP9051,Chennai,Ahmedabad,14:00,15:06,3734,1.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
IndiGo,IN9360,Pune,Delhi,08:45,10:21,5166,1.6,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI4486,Ahmedabad,Pune,07:30,10:36,12096,3.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP4262,Mumbai,Lucknow,00:15,02:15,5316,2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI4719,Hyderabad,Bangalore,19:00,22:06,7905,3.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
IndiGo,IN1508,Pune,Ahmedabad,03:45,05:21,6096,1.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI542,Chennai,Goa,08:00,10:24,9487,2.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK5596,Srinagar,Kochi,17:15,20:21,10363,3.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI7411,Goa,Srinagar,03:00,04:42,4994,1.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
AirAsia India,AI8144,Kolkata,Hyderabad,21:45,23:21,4491,1.6,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK8701,Kolkata,Kochi,07:00,08:12,4460,1.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI2824,Ahmedabad,Chandigarh,13:00,14:12,3835,1.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI5907,Chandigarh,Kolkata,08:45,10:27,6647,1.7,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI9649,Mumbai,Bangalore,02:30,04:36,6302,2.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP4327,Guwahati,Srinagar,04:00,07:30,10398,3.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN3309,Ahmedabad,Hyderabad,00:15,02:39,6979,2.4,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI6190,Pune,Srinagar,08:30,11:54,12967,3.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Akasa Air,AK7996,Chennai,Srinagar,02:30,05:36,12266,3.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI4216,Delhi,Bangalore,19:30,21:42,5878,2.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI4204,Guwahati,Chandigarh,19:45,22:57,11612,3.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN3103,Kolkata,Goa,18:00,19:36,4971,1.6,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK3897,Pune,Mumbai,14:15,15:51,5838,1.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK2262,Kochi,Bangalore,02:30,05:54,12882,3.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN7149,Hyderabad,Jaipur,23:30,01:18,5756,1.8,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI6194,Delhi,Kochi,05:15,06:45,5079,1.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Air India,AI8713,Guwahati,Mumbai,15:30,18:42,8841,3.2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK6300,Bangalore,Chandigarh,02:15,03:15,3781,1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI7315,Delhi,Ahmedabad,08:45,11:33,8719,2.8,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI5414,Pune,Jaipur,05:30,06:48,4901,1.3,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
IndiGo,IN3781,Kochi,Hyderabad,08:45,10:15,3987,1.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI2781,Lucknow,Srinagar,15:15,18:09,9323,2.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI5851,Goa,Guwahati,00:30,03:30,9966,3,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI3193,Delhi,Guwahati,09:45,10:51,3833,1.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
AirAsia India,AI2213,Srinagar,Delhi,14:45,17:45,8883,3,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK3658,Goa,Delhi,19:00,20:48,5648,1.8,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI6146,Kochi,Jaipur,02:45,04:21,4716,1.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN7983,Jaipur,Lucknow,13:30,15:42,5904,2.2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI3972,Chennai,Kochi,08:30,10:12,6308,1.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI1092,Jaipur,Kolkata,04:45,06:57,7645,2.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI1613,Kolkata,Lucknow,01:15,04:27,10460,3.2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI5708,Bangalore,Delhi,15:00,18:12,12697,3.2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Air India,AI9051,Delhi,Ahmedabad,01:45,03:21,5977,1.6,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI5311,Hyderabad,Kolkata,13:00,15:42,9903,2.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK7091,Goa,Jaipur,04:15,06:03,5011,1.8,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP6069,Pune,Kochi,06:00,08:00,6802,2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI535,Delhi,Pune,00:15,01:51,5633,1.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN6364,Delhi,Srinagar,08:15,11:33,8283,3.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN1537,Goa,Kolkata,16:15,17:39,4566,1.4,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
AirAsia India,AI8490,Kochi,Ahmedabad,08:00,11:24,12865,3.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
IndiGo,IN7097,Ahmedabad,Chandigarh,05:45,08:15,7662,2.5,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK4176,Guwahati,Hyderabad,12:30,15:24,8175,2.9,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK6101,Srinagar,Kochi,07:30,08:36,4122,1.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN9546,Kolkata,Delhi,17:30,19:12,6572,1.7,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI1877,Srinagar,Delhi,05:15,06:45,3796,1.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP5781,Mumbai,Ahmedabad,09:30,12:48,9058,3.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Vistara,VI2599,Kochi,Guwahati,03:15,05:03,6827,1.8,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK5644,Srinagar,Pune,19:15,21:57,8051,2.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
SpiceJet,SP3492,Pune,Ahmedabad,12:45,14:39,5624,1.9,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP7234,Lucknow,Chennai,03:00,04:06,3391,1.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN8294,Mumbai,Hyderabad,00:00,02:36,8907,2.6,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN4000,Srinagar,Lucknow,19:00,21:30,6992,2.5,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI4468,Kochi,Hyderabad,19:45,21:09,5404,1.4,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI4478,Lucknow,Guwahati,02:00,03:18,5193,1.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK9989,Mumbai,Bangalore,18:00,20:06,5386,2.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK6075,Hyderabad,Mumbai,07:30,09:00,4234,1.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Air India,AI694,Chennai,Lucknow,00:00,03:18,11097,3.3,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI3286,Guwahati,Pune,13:15,15:57,8183,2.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK7765,Ahmedabad,Mumbai,22:45,01:15,7685,2.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN1299,Delhi,Kochi,21:30,23:30,5276,2,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK631,Guwahati,Kolkata,22:30,00:00,4857,1.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP2375,Hyderabad,Srinagar,17:15,19:21,5636,2.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI2289,Chennai,Ahmedabad,11:30,12:54,5233,1.4,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP5570,Chennai,Srinagar,18:00,19:42,5941,1.7,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Akasa Air,AK8820,Pune,Lucknow,21:45,01:09,11604,3.4,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Vistara,VI4064,Chandigarh,Kolkata,20:45,22:03,3944,1.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN3295,Guwahati,Chandigarh,06:30,09:00,6630,2.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
IndiGo,IN2910,Bangalore,Delhi,22:00,01:06,9048,3.1,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
SpiceJet,SP2159,Kochi,Delhi,08:00,09:18,4624,1.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Air India,AI269,Chennai,Srinagar,13:30,16:48,8972,3.3,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
Akasa Air,AK5804,Bangalore,Chandigarh,13:00,15:24,9187,2.4,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Air India,AI9405,Goa,Chandigarh,04:15,05:21,3954,1.1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets,
Akasa Air,AK5099,Bangalore,Mumbai,13:45,15:27,5980,1.7,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
Akasa Air,AK9651,Goa,Hyderabad,09:45,12:15,6692,2.5,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
AirAsia India,AI1154,Delhi,Srinagar,16:15,18:15,5044,2,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
SpiceJet,SP8273,Guwahati,Goa,20:15,22:39,7437,2.4,https://www.airindia.com/en/book-flights/goa-to-pune-flights ,
IndiGo,IN4476,Ahmedabad,Srinagar,13:30,14:30,2965,1,https://www.makemytrip.com/flights/goa-pune-cheap-airtickets.html ,
